timestamp,log_type,src_ip,dst_ip,username,message
2025-06-27 21:13:01,auth_failure,166.186.169.69,111.198.92.30,thull,Failed login attempt for user thull from 166.186.169.69
2025-06-27 16:37:03,malware_alert,141.250.247.54,212.120.204.37,montgomeryjohn,Malware detected: Spyware on host 212.120.204.37
2025-06-27 21:56:02,auth_success,198.165.159.67,132.184.50.44,thomas15,Successful login for user thomas15 from 198.165.159.67
2025-06-27 20:13:37,malware_alert,141.22.41.210,216.85.243.248,trujilloana,Malware detected: Worm on host 216.85.243.248
2025-06-28 01:33:57,network,89.134.83.44,193.0.149.202,vclayton,Connection from 89.134.83.44 to 193.0.149.202 on port 91
2025-06-27 10:38:36,malware_alert,36.7.239.51,5.198.12.177,lindathomas,Malware detected: Ransomware on host 5.198.12.177
2025-06-28 02:34:51,malware_alert,210.147.3.26,167.212.30.96,turnerkelly,Malware detected: Worm on host 167.212.30.96
2025-06-27 18:28:58,system,45.1.66.87,206.77.31.64,zdavis,System started: synergize turn-key networks
2025-06-27 19:12:46,auth_failure,107.7.191.50,80.164.194.204,rjones,Failed login attempt for user rjones from 107.7.191.50
2025-06-27 10:51:26,auth_success,17.60.141.60,7.33.95.210,aimee33,Successful login for user aimee33 from 17.60.141.60
2025-06-27 18:42:11,malware_alert,207.90.250.146,223.195.213.56,christopher91,Malware detected: Worm on host 223.195.213.56
2025-06-28 03:18:27,auth_failure,186.186.137.38,81.88.175.159,thorntonnathan,Failed login attempt for user thorntonnathan from 186.186.137.38
2025-06-28 02:10:21,auth_success,96.127.94.194,23.0.49.104,montoyacynthia,Successful login for user montoyacynthia from 96.127.94.194
2025-06-28 03:10:06,system,204.151.139.175,76.16.184.201,myersmitchell,System started: embrace robust metrics
2025-06-27 21:42:41,system,75.214.148.138,214.189.10.243,gilesandrew,System started: brand mission-critical portals
2025-06-28 01:09:41,auth_success,83.68.151.159,131.232.30.143,gwilliams,Successful login for user gwilliams from 83.68.151.159
2025-06-27 19:01:52,system,198.89.132.125,158.24.5.128,heidiharris,System started: revolutionize leading-edge methodologies
2025-06-28 03:51:11,network,26.244.57.110,222.39.111.192,alexandermaldonado,Connection from 26.244.57.110 to 222.39.111.192 on port 431
2025-06-27 12:22:44,malware_alert,192.175.19.238,216.7.163.240,annsmith,Malware detected: Spyware on host 216.7.163.240
2025-06-27 10:30:42,system,209.118.88.126,215.175.37.244,sbell,System started: innovate synergistic applications
2025-06-28 01:41:03,auth_failure,192.36.60.42,221.66.233.131,smithjames,Failed login attempt for user smithjames from 192.36.60.42
2025-06-27 18:09:58,malware_alert,142.71.60.17,221.66.209.53,moralesjacqueline,Malware detected: Ransomware on host 221.66.209.53
2025-06-27 11:44:06,malware_alert,160.191.156.14,116.37.203.32,seandyer,Malware detected: Ransomware on host 116.37.203.32
